20200000,71,73,70
20200001,58,80,62
20200002,43,62,94
20200003,62,75,44
20200004,71,95,77
20200005,48,83,99
20200006,64,59,88
20200007,42,78,78
20200008,38,42,75
20200009,42,34,55
20200010,36,60,61
20200011,98,43,93
20200012,56,33,41
20200013,47,62,94
20200014,75,55,64
20200015,85,34,79
20200016,63,53,87
20200017,59,47,54
20200018,59,59,44
20200019,55,50,63
20200020,43,62,94
20200021,55,94,89
20200022,46,67,66
20200023,63,85,46
20200024,39,53,50
20200025,36,87,47
20200026,54,78,94
20200027,41,57,56
20200028,71,65,96
20200029,97,61,46
20200030,58,98,79
20200031,99,77,83
20200032,44,51,82
20200033,76,54,44
20200034,91,63,61
20200035,86,71,66
20200036,68,35,89
20200037,48,62,84
20200038,69,95,58
20200039,59,54,42
20200040,49,70,42
20200041,72,43,78
20200042,99,42,84
20200043,70,36,99
20200044,94,79,74
20200045,98,94,49
20200046,85,91,58
20200047,67,65,83
20200048,99,40,67
20200049,75,69,95
